gpu-01
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 0, al: -1.72e+01, cl: 3.95e+01, trSpan: -15.3820, trEntropy: 2.05, teSpan: -15.3787, tr_step: 100, time: 3.28
epi: 100, al: -3.09e+00, cl: 6.96e+00, trSpan: -12.5767, trEntropy: 2.01, teSpan: -12.7276, tr_step: 10100, time: 3.14
epi: 200, al: -9.99e-02, cl: 5.58e-01, trSpan: -11.2729, trEntropy: 1.86, teSpan: -11.3369, tr_step: 20100, time: 3.17
epi: 300, al: -7.76e-02, cl: 2.64e-01, trSpan: -10.5494, trEntropy: 1.69, teSpan: -10.5593, tr_step: 30100, time: 3.13
epi: 400, al: 6.49e-02, cl: 2.33e-01, trSpan: -10.1487, trEntropy: 1.56, teSpan: -10.1383, tr_step: 40100, time: 3.12
epi: 500, al: -8.38e-03, cl: 1.77e-01, trSpan: -9.9847, trEntropy: 1.45, teSpan: -9.9674, tr_step: 50100, time: 3.15
epi: 600, al: -8.99e-02, cl: 1.97e-01, trSpan: -9.7527, trEntropy: 1.37, teSpan: -9.8284, tr_step: 60100, time: 3.15
epi: 700, al: -3.84e-02, cl: 2.28e-01, trSpan: -9.7139, trEntropy: 1.28, teSpan: -9.7544, tr_step: 70100, time: 3.13
epi: 800, al: -5.46e-02, cl: 1.41e-01, trSpan: -9.6798, trEntropy: 1.22, teSpan: -9.6768, tr_step: 80100, time: 3.14
epi: 900, al: 1.24e-02, cl: 1.44e-01, trSpan: -9.7657, trEntropy: 1.16, teSpan: -9.6654, tr_step: 90100, time: 3.11
epi: 1000, al: 1.18e-01, cl: 1.58e-01, trSpan: -9.5871, trEntropy: 1.15, teSpan: -9.6148, tr_step: 100100, time: 3.12
epi: 1100, al: 7.41e-02, cl: 1.38e-01, trSpan: -9.4816, trEntropy: 1.09, teSpan: -9.5929, tr_step: 110100, time: 3.11
epi: 1200, al: 8.80e-02, cl: 1.57e-01, trSpan: -9.4941, trEntropy: 1.05, teSpan: -9.5600, tr_step: 120100, time: 3.16
epi: 1300, al: 9.45e-02, cl: 1.60e-01, trSpan: -9.3767, trEntropy: 1.02, teSpan: -9.6021, tr_step: 130100, time: 3.16
epi: 1400, al: 7.99e-04, cl: 1.36e-01, trSpan: -9.4907, trEntropy: 0.99, teSpan: -9.5517, tr_step: 140100, time: 3.12
epi: 1500, al: -8.07e-03, cl: 1.56e-01, trSpan: -9.5302, trEntropy: 0.97, teSpan: -9.5489, tr_step: 150100, time: 3.15
epi: 1600, al: -1.28e-02, cl: 1.54e-01, trSpan: -9.6769, trEntropy: 0.93, teSpan: -9.5556, tr_step: 160100, time: 3.15
epi: 1700, al: -2.04e-01, cl: 1.86e-01, trSpan: -9.5638, trEntropy: 0.93, teSpan: -9.5542, tr_step: 170100, time: 3.13
epi: 1800, al: -2.21e-03, cl: 1.46e-01, trSpan: -9.4520, trEntropy: 0.90, teSpan: -9.5102, tr_step: 180100, time: 3.12
epi: 1900, al: -9.57e-03, cl: 1.37e-01, trSpan: -9.5364, trEntropy: 0.86, teSpan: -9.5163, tr_step: 190100, time: 3.17
epi: 2000, al: 4.97e-03, cl: 1.63e-01, trSpan: -9.5088, trEntropy: 0.83, teSpan: -9.5064, tr_step: 200100, time: 3.11
epi: 2100, al: -3.37e-02, cl: 1.46e-01, trSpan: -9.5893, trEntropy: 0.82, teSpan: -9.4844, tr_step: 210100, time: 3.12
epi: 2200, al: -9.63e-02, cl: 2.02e-01, trSpan: -9.7835, trEntropy: 0.79, teSpan: -9.4612, tr_step: 220100, time: 3.14
epi: 2300, al: -5.00e-02, cl: 1.45e-01, trSpan: -9.3967, trEntropy: 0.77, teSpan: -9.4729, tr_step: 230100, time: 3.15
epi: 2400, al: 9.51e-02, cl: 1.48e-01, trSpan: -9.4192, trEntropy: 0.75, teSpan: -9.4727, tr_step: 240100, time: 3.16
epi: 2500, al: 5.19e-03, cl: 1.49e-01, trSpan: -9.5147, trEntropy: 0.71, teSpan: -9.4643, tr_step: 250100, time: 3.10
epi: 2600, al: 3.74e-02, cl: 1.23e-01, trSpan: -9.5298, trEntropy: 0.69, teSpan: -9.4520, tr_step: 260100, time: 3.16
epi: 2700, al: -1.07e-01, cl: 1.90e-01, trSpan: -9.4544, trEntropy: 0.69, teSpan: -9.4967, tr_step: 270100, time: 3.14
epi: 2800, al: -3.11e-02, cl: 1.27e-01, trSpan: -9.5326, trEntropy: 0.63, teSpan: -9.4651, tr_step: 280100, time: 3.17
epi: 2900, al: 1.02e-01, cl: 1.68e-01, trSpan: -9.5286, trEntropy: 0.70, teSpan: -9.5000, tr_step: 290100, time: 3.14
epi: 3000, al: -5.45e-02, cl: 1.66e-01, trSpan: -9.6104, trEntropy: 0.66, teSpan: -9.4721, tr_step: 300100, time: 3.13
epi: 3100, al: 1.61e-01, cl: 1.63e-01, trSpan: -9.3417, trEntropy: 0.69, teSpan: -9.4477, tr_step: 310100, time: 3.14
epi: 3200, al: 4.16e-02, cl: 1.37e-01, trSpan: -9.5220, trEntropy: 0.66, teSpan: -9.4568, tr_step: 320100, time: 3.08
epi: 3300, al: -1.05e-02, cl: 1.81e-01, trSpan: -9.6074, trEntropy: 0.64, teSpan: -9.4749, tr_step: 330100, time: 3.14
epi: 3400, al: -2.75e-02, cl: 1.56e-01, trSpan: -9.4140, trEntropy: 0.69, teSpan: -9.4585, tr_step: 340100, time: 3.15
epi: 3500, al: -8.72e-02, cl: 1.59e-01, trSpan: -9.5918, trEntropy: 0.69, teSpan: -9.4787, tr_step: 350100, time: 3.11
epi: 3600, al: -5.31e-02, cl: 1.86e-01, trSpan: -9.5255, trEntropy: 0.65, teSpan: -9.4357, tr_step: 360100, time: 3.19
epi: 3700, al: -2.25e-03, cl: 1.40e-01, trSpan: -9.5226, trEntropy: 0.63, teSpan: -9.4388, tr_step: 370100, time: 3.20
