gpu-02
Device:  cuda
Seed: 0, Batch-Size: 100, Invalid-action-masking: 1
epi: 0, al: -5.44e+01, cl: 2.22e+02, trSpan: -36.4958, trEntropy: 2.79, teSpan: -36.3270, tr_step: 400, time: 14.65
epi: 100, al: -1.51e+01, cl: 6.73e+01, trSpan: -31.2494, trEntropy: 2.79, teSpan: -31.3037, tr_step: 40400, time: 294.09
epi: 200, al: -6.04e+00, cl: 1.50e+01, trSpan: -28.3687, trEntropy: 2.76, teSpan: -28.2680, tr_step: 80400, time: 297.18
epi: 300, al: -1.66e+00, cl: 2.03e+00, trSpan: -25.3147, trEntropy: 2.66, teSpan: -25.2396, tr_step: 120400, time: 300.12
epi: 400, al: -3.75e-01, cl: 7.19e-01, trSpan: -23.0946, trEntropy: 2.50, teSpan: -22.8909, tr_step: 160400, time: 299.23
epi: 500, al: -7.29e-01, cl: 4.93e-01, trSpan: -21.4504, trEntropy: 2.36, teSpan: -21.5840, tr_step: 200400, time: 300.50
epi: 600, al: -1.01e+00, cl: 4.69e-01, trSpan: -20.9521, trEntropy: 2.23, teSpan: -20.8735, tr_step: 240400, time: 299.13
epi: 700, al: -2.27e-01, cl: 3.46e-01, trSpan: -20.4763, trEntropy: 2.14, teSpan: -20.5001, tr_step: 280400, time: 300.92
epi: 800, al: -3.59e-01, cl: 3.69e-01, trSpan: -20.3892, trEntropy: 2.05, teSpan: -20.1980, tr_step: 320400, time: 301.90
epi: 900, al: 9.61e-02, cl: 2.73e-01, trSpan: -20.0472, trEntropy: 1.97, teSpan: -20.0250, tr_step: 360400, time: 297.89
epi: 1000, al: -2.46e-01, cl: 4.11e-01, trSpan: -19.9181, trEntropy: 1.89, teSpan: -19.9537, tr_step: 400400, time: 295.60
epi: 1100, al: 2.58e-01, cl: 3.61e-01, trSpan: -19.8246, trEntropy: 1.83, teSpan: -19.9113, tr_step: 440400, time: 303.98
epi: 1200, al: -5.90e-01, cl: 3.83e-01, trSpan: -19.8271, trEntropy: 1.78, teSpan: -19.7650, tr_step: 480400, time: 304.00
epi: 1300, al: -2.29e-01, cl: 2.53e-01, trSpan: -19.6645, trEntropy: 1.72, teSpan: -19.6454, tr_step: 520400, time: 299.73
